BEs,n_spp,amphibians,lizards,snakes,birds,mammals,groups,BE_area,grid_cells,wide,partial,restricted,class
1,27,16,2,2,5,2,5,"256,998",22,0,2,25,restricted
2,19,4,0,2,12,1,4,"2,706,447",229,14,5,0,wide
3,8,0,0,8,0,0,1,"1,198,399",103,1,7,0,partial
4,7,2,4,1,0,0,3,"35,849",3,0,0,7,restricted
5,7,3,2,1,0,1,4,"34,954",3,0,0,7,restricted
6,6,2,2,1,0,1,4,"11,898",1,0,0,6,restricted
7,6,0,2,0,2,2,3,"47,646",4,0,2,4,restricted
8,5,3,0,2,0,0,2,"11,951",1,0,0,5,restricted
9,5,2,1,1,0,1,4,"34,888",3,0,0,5,restricted
10,5,3,0,0,1,1,3,"1,059,121",90,0,5,0,partial
11,4,0,1,3,0,0,2,"11,842",1,0,0,4,restricted
12,3,0,1,0,0,2,2,"23,741",2,0,0,3,restricted
13,3,2,1,0,0,0,2,"47,127",4,0,0,3,restricted
14,3,3,0,0,0,0,1,"118,443",10,0,0,3,restricted
15,3,2,0,0,0,1,2,"130,586",11,0,2,1,partial
16,3,3,0,0,0,0,1,"82,703",7,0,0,3,restricted
17,3,2,0,0,0,1,2,"22,446",2,0,0,3,restricted
18,3,0,2,1,0,0,2,"35,951",3,0,0,3,restricted
19,3,0,0,0,2,1,2,"180,397",15,0,3,0,partial
20,3,1,0,2,0,0,2,"255,117",22,0,3,0,partial
21,3,2,0,0,1,0,2,"249,848",21,0,2,1,partial
22,3,3,0,0,0,0,1,"458,041",38,0,3,0,partial