"species","BEs","range_be","class","family","genus","range","year","New","IUCN","elev_class","BEs_elev_class"
"Adenomera cotuba*",0,"noise","Amphibians","Leptodactylidae","Adenomera","Partial",2013,"s","NE","general","plateau"
"Adenomera saci",26,"partial","Amphibians","Leptodactylidae","Adenomera","Partial",2013,"n","-","depression","depression"
"Akodon kadiweu",19,"restricted","Mammals","Cricetidae","Akodon","Restricted",2021,"s","-","plateau","depression"
"Akodon lindberghi",0,"noise","Mammals","Cricetidae","Akodon","Partial",1990,"s","DD","plateau","plateau"
"Alectrurus tricolor",4,"partial","Aves","Tyrannidae","Alectrurus","Partial",1816,"s","VU","general","plateau"
"Alipiopsitta xanthops",2,"wide","Aves","Psittacidae ","Alipiopsitta","Wide",1824,"s","NT","plateau","general"
"Allobates brunneus",6,"restricted","Amphibians","Aromobatidae","Allobates","Restricted",1887,"n","LC","depression","depression"
"Allobates goianus",9,"restricted","Amphibians","Aromobatidae","Allobates","Restricted",1975,"n","DD","plateau","plateau"
"Alopoglossus collii*",27,"restricted","Lizards","Alopoglossidae","Alopoglossus","Restricted",2020,"s","-","depression","depression"
"Ameerega berohoka",0,"noise","Amphibians","Dendrobatoidea","Ameerega","Partial",2011,"n","LC","depression","plateau"
"Ameerega braccata",6,"restricted","Amphibians","Dendrobatoidea","Ameerega","Restricted",1864,"n","LC","general","depression"
"Ameerega flavopicta",0,"noise","Amphibians","Dendrobatoidea","Ameerega","Partial",1925,"n","LC","plateau","plateau"
"Ameerega picta",19,"restricted","Amphibians","Dendrobatoidea","Ameerega","Restricted",1838,"n","LC","depression","depression"
"Ameiva jacuba",12,"restricted","Lizards","Teiidae","Ameiva","Restricted",2013,"n","-","plateau","plateau"
"Ameiva parecis",25,"restricted","Lizards","Teiidae","Ameiva","Restricted",2003,"n","-","depression","general"
"Ameivula cipoensis*",1,"restricted","Lizards","Teiidae","Ameivula","Restricted",2014,"s","-","plateau","plateau"
"Ameivula jalapensis",0,"noise","Lizards","Teiidae","Ameivula","Restricted",2009,"n","LC","depression","plateau"
"Ameivula mumbuca",0,"noise","Lizards","Teiidae","Ameivula","Restricted",2003,"n","LC","plateau","plateau"
"Ameivula xacriaba*",16,"restricted","Lizards","Teiidae","Ameivula","Restricted",2014,"s","-","plateau","plateau"
"Amphisbaena absaberi",10,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2001,"n","DD","depression","depression"
"Amphisbaena acrobeles",18,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2009,"n","-","depression","plateau"
"Amphisbaena anaemariae",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Partial",1997,"n","-","plateau","plateau"
"Amphisbaena bedai",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1991,"n","-","depression","plateau"
"Amphisbaena brevis",6,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2009,"n","-","depression","depression"
"Amphisbaena carli",7,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2010,"n","-","plateau","plateau"
"Amphisbaena crisae",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Partial",1997,"n","-","general","plateau"
"Amphisbaena cuiabana",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2001,"n","-","general","plateau"
"Amphisbaena filiformis*",20,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2016,"s","-","depression","depression"
"Amphisbaena kraoh",17,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1971,"n","-","general","depression"
"Amphisbaena leeseri",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1964,"n","-","depression","plateau"
"Amphisbaena maranhensis",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2012,"n","-","depression","plateau"
"Amphisbaena mebengokre*",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2019,"s","-","depression","plateau"
"Amphisbaena neglecta",6,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1936,"n","-","plateau","depression"
"Amphisbaena persephone*",7,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2014,"s","-","plateau","plateau"
"Amphisbaena sanctaeritae",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1994,"n","-","plateau","plateau"
"Amphisbaena saxosa",17,"restricted","Lizards","Amphisbaenidae","Amphisbaena","Restricted",2003,"n","-","depression","depression"
"Amphisbaena silvestrii",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Partial",1902,"n","-","depression","plateau"
"Amphisbaena steindachneri",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Restricted",1881,"n","-","depression","plateau"
"Amphisbaena talisiae",0,"noise","Lizards","Amphisbaenidae","Amphisbaena","Partial",1995,"n","-","general","plateau"
"Anolis meridionalis",0,"noise","Lizards","Dactyloidae","Anolis","Wide",1885,"n","-","depression","plateau"
"Antilophia galeata",2,"wide","Aves","Tyrannidae","Antilophia","Wide",1823,"s","LC","general","general"
"Aplastodiscus lutzorum*",3,"restricted","Amphibians","Hylidae","Aplastodiscus","Restricted",2017,"s","-","plateau","plateau"
"Apostolepis adhara*",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",2018,"s","-","depression","plateau"
"Apostolepis albicollaris",9,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2002,"n","-","plateau","plateau"
"Apostolepis assimilis*",4,"partial","Snakes","Dipsadidae","Apostolepis","Partial",1861,"s","-","plateau","plateau"
"Apostolepis barrioi*",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1978,"s","-","general","plateau"
"Apostolepis cerradoensis",5,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2003,"n","-","depression","plateau"
"Apostolepis christineae",10,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2002,"n","-","depression","depression"
"Apostolepis flavotorquata",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1854,"n","-","general","plateau"
"Apostolepis goiasensis",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1942,"n","DD","general","plateau"
"Apostolepis intermedia",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1898,"n","-","depression","plateau"
"Apostolepis kikoi*",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",2018,"s","-","depression","plateau"
"Apostolepis lineata",6,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",1887,"n","-","plateau","depression"
"Apostolepis longicaudata",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1921,"n","-","depression","plateau"
"Apostolepis nelsonjorgei",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2004,"n","-","depression","plateau"
"Apostolepis phillipsae*",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1999,"s","VU","depression","plateau"
"Apostolepis polylepis",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",1921,"n","DD","depression","plateau"
"Apostolepis sanctaeritae*",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2005,"s","-","general","plateau"
"Apostolepis serrana",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",2006,"n","-","depression","plateau"
"Apostolepis striata",25,"restricted","Snakes","Dipsadidae","Apostolepis","Restricted",2004,"n","-","plateau","general"
"Apostolepis tertulianobeui*",0,"noise","Snakes","Dipsadidae","Apostolepis","Partial",2004,"s","-","general","plateau"
"Apostolepis vittata",0,"noise","Snakes","Dipsadidae","Apostolepis","Restricted",1887,"n","-","depression","plateau"
"Arremon flavirostris",4,"partial","Aves","Passerellidae","Arremon","Partial",1838,"s","LC","plateau","plateau"
"Asthenes luizae",1,"restricted","Aves","Furnariidae","Asthenes","Restricted",1990,"s","NT","plateau","plateau"
"Atractus albuquerquei",0,"noise","Snakes","Dipsadidae","Atractus","Partial",1983,"n","LC","depression","plateau"
"Atractus edioi",5,"restricted","Snakes","Dipsadidae","Atractus","Restricted",2005,"n","-","depression","plateau"
"Atractus pantostictus*",0,"noise","Snakes","Dipsadidae","Atractus","Partial",1993,"s","-","plateau","plateau"
"Atractus spinalis",1,"restricted","Snakes","Dipsadidae","Atractus","Restricted",2013,"n","-","plateau","plateau"
"Atractus stygius*",0,"noise","Snakes","Dipsadidae","Atractus","Partial",2019,"s","-","depression","plateau"
"Augastes scutatus",1,"restricted","Aves","Trochilidae","Augastes","Restricted",1824,"s","LC","plateau","plateau"
"Bachia bresslaui",0,"noise","Lizards","Gymnophthalmidae","Bachia","Partial",1935,"n","VU","general","plateau"
"Bachia cacerensis",0,"noise","Lizards","Gymnophthalmidae","Bachia","Restricted",1998,"n","-","depression","plateau"
"Bachia didactyla",25,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2011,"n","-","general","general"
"Bachia geralista",16,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2012,"n","-","plateau","plateau"
"Bachia micromela",0,"noise","Lizards","Gymnophthalmidae","Bachia","Restricted",2007,"n","-","depression","plateau"
"Bachia oxyrhina",18,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2008,"n","LC","plateau","plateau"
"Bachia psamophila",17,"restricted","Lizards","Gymnophthalmidae","Bachia","Restricted",2007,"n","-","depression","depression"
"Barycholos ternetzi",22,"partial","Amphibians","Craugastoridae","Barycholos","Partial",1937,"n","LC","general","general"
"Boana botumirim",0,"noise","Amphibians","Hylidae","Boana","Restricted",2009,"n","-","plateau","plateau"
"Boana buriti",3,"restricted","Amphibians","Hylidae","Boana","Restricted",1999,"n","DD","plateau","plateau"
"Boana caiapo*",28,"partial","Amphibians","Hylidae","Boana","Restricted",2018,"s","-","depression","depression"
"Boana cipoensis",1,"restricted","Amphibians","Hylidae","Boana","Restricted",1968,"n","NT","plateau","plateau"
"Boana ericae",5,"restricted","Amphibians","Hylidae","Boana","Restricted",2000,"n","DD","plateau","plateau"
"Boana goiana",3,"restricted","Amphibians","Hylidae","Boana","Restricted",1968,"n","LC","plateau","plateau"
"Boana jaguariaivensis",24,"restricted","Amphibians","Hylidae","Boana","Restricted",2010,"n","-","plateau","plateau"
"Boana lundii",13,"partial","Amphibians","Hylidae","Boana","Partial",1856,"n","LC","plateau","plateau"
"Boana stenocephala",8,"restricted","Amphibians","Hylidae","Boana","Restricted",1999,"n","DD","plateau","plateau"
"Bokermannohyla alvarengai",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1956,"n","LC","plateau","plateau"
"Bokermannohyla ibitiguara",8,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1983,"n","DD","plateau","plateau"
"Bokermannohyla izecksohni*",0,"noise","Amphibians","Hylidae","Bokermannohyla","Restricted",1979,"s","CR","plateau","plateau"
"Bokermannohyla nanuzae",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1973,"n","LC","plateau","plateau"
"Bokermannohyla napolii",21,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2012,"n","-","plateau","plateau"
"Bokermannohyla pseudopseudis",5,"restricted","Amphibians","Hylidae","Bokermannohyla","Partial",1937,"n","-","plateau","plateau"
"Bokermannohyla ravida",0,"noise","Amphibians","Hylidae","Bokermannohyla","Restricted",2001,"n","DD","plateau","plateau"
"Bokermannohyla sagarana",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2011,"n","NT","plateau","plateau"
"Bokermannohyla sapiranga",3,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",2012,"n","-","plateau","plateau"
"Bokermannohyla saxicola",1,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1964,"n","LC","plateau","plateau"
"Bokermannohyla sazimai",21,"restricted","Amphibians","Hylidae","Bokermannohyla","Restricted",1982,"n","DD","plateau","plateau"
"Bothrops itapetiningae",14,"partial","Snakes","Viperidae","Bothrops","Partial",1907,"n","LC","plateau","plateau"
"Bothrops marmoratus",22,"partial","Snakes","Viperidae","Bothrops","Partial",2008,"n","-","general","general"
"Bothrops moojeni",2,"wide","Snakes","Viperidae","Bothrops","Wide",1866,"n","-","depression","general"
"Bothrops pauloensis",4,"partial","Snakes","Viperidae","Bothrops","Partial",1925,"n","-","plateau","plateau"
"Calassomys apicalis",1,"restricted","Mammals","Cricetidae","Calassomys","Restricted",2014,"s","-","plateau","plateau"
"Callithrix penicillata",0,"noise","Mammals","Callithrichidae","Callithrix","Partial",1812,"s","LC","plateau","plateau"
"Calomys tocantinsi",15,"partial","Mammals","Cricetidae","Calomys","Partial",2003,"s","LC","depression","depression"
"Carterodon sulcidens",0,"noise","Mammals","Echimyidae","Carterodon","Partial",1838,"s","DD","general","plateau"
"Celeus obrieni",26,"partial","Aves","Picidae","Celeus","Restricted",1973,"s","VU","depression","depression"
"Cercomacra ferdinandi",0,"noise","Aves","Thamnophilidae","Cercomacra","Partial",1928,"s","VU","depression","plateau"
"Cerradomys akroai",0,"noise","Mammals","Cricetidae","Cerradomys","Restricted",2014,"s","-","general","plateau"
"Cerradomys marinhus",0,"noise","Mammals","Cricetidae","Cerradomys","Partial",2003,"s","LC","plateau","plateau"
"Cerradomys scotti",0,"noise","Mammals","Cricetidae","Cerradomys","Wide",2002,"s","LC","general","plateau"
"Charitospiza eucosma",2,"wide","Aves","Thraupidae","Charitospiza","Wide",1905,"s","NT","general","general"
"Chiasmocleis albopunctata",2,"wide","Amphibians","Microhylidae","Chiasmocleis","Wide",1885,"n","LC","depression","general"
"Chiasmocleis centralis",0,"noise","Amphibians","Microhylidae","Chiasmocleis","Partial",1952,"n","DD","depression","plateau"
"Chironius brazili*",0,"noise","Snakes","Colubridae","Chironius","Partial",2015,"s","-","plateau","plateau"
"Cinclodes espinhacensis",1,"restricted","Aves","Furnariidae","Cinclodes","Restricted",2012,"s","-","plateau","plateau"
"Clibanornis rectirostris",4,"partial","Aves","Furnariidae","Clibanornis","Partial",1831,"s","LC","plateau","plateau"
"Clyomys laticeps",0,"noise","Mammals","Echimyidae","Clyomys","Partial",1909,"s","LC","general","plateau"
"Coleodactylus brachystoma",0,"noise","Lizards","Sphaerodactylidae","Coleodactylus","Partial",1935,"n","-","depression","plateau"
"Colobosaura modesta",29,"partial","Lizards","Gymnophthalmidae","Colobosaura","Wide",1862,"n","-","depression","depression"
"Columbina cyanopis",0,"noise","Aves","Columbidae","Columbina","Partial",1870,"s","CR","general","plateau"
"Conothraupis mesoleuca",0,"noise","Aves","Thraupidae","Conothraups","Partial",1939,"s","EN","general","plateau"
"Coryphaspiza melanotis",13,"partial","Aves","Thraupidae","Coryphaspiza","Partial",1822,"s","VU","plateau","plateau"
"Crossodactylus franciscanus*",0,"noise","Amphibians","Hylodidae","Crossodactylus","Restricted",2015,"s","-","plateau","plateau"
"Crossodactylus trachystomus",1,"restricted","Amphibians","Hylodidae","Crossodactylus","Restricted",1862,"n","DD","plateau","plateau"
"Ctenomys bicolor",0,"noise","Mammals","Ctenomyidae","Ctenomys","Partial",1914,"s","?","depression","plateau"
"Ctenomys nattereri",27,"restricted","Mammals","Ctenomyidae","Ctenomys","Partial",1848,"s","LC","depression","depression"
"Cyanocorax cristatellus",2,"wide","Aves","Corvidae","Cyanocorax","Wide",1823,"s","LC","plateau","general"
"Dendropsophus anataliasiasi",28,"partial","Amphibians","Hylidae","Dendropsophus","Partial",1972,"n","LC","depression","depression"
"Dendropsophus araguaya",12,"restricted","Amphibians","Hylidae","Dendropsophus","Restricted",1998,"n","DD","plateau","plateau"
"Dendropsophus cerradensis",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1998,"n","DD","depression","plateau"
"Dendropsophus cruzi",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1998,"n","LC","depression","plateau"
"Dendropsophus elianeae",4,"partial","Amphibians","Hylidae","Dendropsophus","Partial",2000,"n","LC","general","plateau"
"Dendropsophus jimi",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1999,"n","LC","plateau","plateau"
"Dendropsophus rhea",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1999,"n","DD","plateau","plateau"
"Dendropsophus rubicundulus",0,"noise","Amphibians","Hylidae","Dendropsophus","Partial",1862,"n","LC","plateau","plateau"
"Dendropsophus tritaeniatus",0,"noise","Amphibians","Hylidae","Dendropsophus","Restricted",1965,"n","LC","depression","plateau"
"Drymoluber brazili",0,"noise","Snakes","Colubridae","Drymoluber","Wide",1918,"n","-","plateau","plateau"
"Elachistocleis bumbameuboi",0,"noise","Amphibians","Microhylidae","Elachistocleis","Restricted",2010,"n","DD","depression","plateau"
"Elachistocleis matogrosso",23,"partial","Amphibians","Microhylidae","Elachistocleis","Partial",2010,"n","LC","depression","depression"
"Embernagra longicauda",1,"restricted","Aves","Thraupidae","Embernagra","Partial",1844,"s","LC","plateau","plateau"
"Enyalius capetinga*",3,"restricted","Lizards","Leiosauridae","Enyalius","Restricted",2018,"s","-","plateau","plateau"
"Epicrates crassus",2,"wide","Snakes","Boidae","Epicrates","Wide",1862,"n","-","depression","general"
"Epictia clinorostris*",0,"noise","Snakes","Leptotyphlopidae","Epictia","Restricted",2010,"s","-","depression","plateau"
"Erythrolamprus maryellenae",0,"noise","Snakes","Dipsadidae","Erythrolamprus","Partial",1985,"n","-","plateau","plateau"
"Eurolophosaurus nanuzae",1,"restricted","Lizards","Tropiduridae","Eurolophosaurus","Restricted",1981,"n","LC","plateau","plateau"
"Euryoryzomys lamia",9,"restricted","Mammals","Cricetidae","Euryoryzomys","Restricted",1901,"s","VU","plateau","plateau"
"Euscarthmus rufomarginatus",0,"noise","Aves","Tyrannidae","Euscarthmus","Wide",1868,"s","NT","depression","plateau"
"Galea flavidens",0,"noise","Mammals","Caviidae","Galea","Partial",1835,"s","LC","depression","plateau"
"Geositta poeciloptera",0,"noise","Aves","Scleruridae","Geositta","Partial",1830,"s","VU","plateau","plateau"
"Gyldenstolpia planaltensis",0,"noise","Mammals","Cricetidae","Gyldenstolpia","Restricted",1972,"s","-","plateau","plateau"
"Gymnodactylus amarali",0,"noise","Lizards","Phyllodactylidae","Gymnodactylus","Partial",1925,"n","LC","depression","plateau"
"Gymnodactylus guttulatus",1,"restricted","Lizards","Phyllodactylidae","Gymnodactylus","Restricted",1982,"n","LC","plateau","plateau"
"Helicops boitata*",10,"restricted","Snakes","Dipsadidae","Helicops","Restricted",2019,"s","-","depression","depression"
"Helicops gomesi*",14,"partial","Snakes","Dipsadidae","Helicops","Partial",1921,"s","-","general","plateau"
"Helicops phantasma*",0,"noise","Snakes","Dipsadidae","Helicops","Partial",2021,"s","-","depression","plateau"
"Herpsilochmus longirostris",2,"wide","Aves","Thamnophilidae","Herpsilochmus","Partial",1868,"s","LC","plateau","general"
"Heterodactylus lundii",0,"noise","Lizards","Gymnophthalmidae","Heterodactylus","Restricted",1862,"n","-","plateau","plateau"
"Holochilus sciureus",0,"noise","Mammals","Cricetidae","Holochilus","Partial",1842,"s","?","depression","plateau"
"Hoplocercus spinosus",0,"noise","Lizards","Hoplocercidae","Hoplocercus","Partial",1843,"n","-","depression","plateau"
"Hydropsalis candicans",0,"noise","Aves","Caprimulgidae","Hydropsalis","Partial",1867,"s","EN","general","plateau"
"Hylaeamys acritus",11,"restricted","Mammals","Cricetidae","Hylaeamys","Partial",2005,"s","?","depression","depression"
"Hylodes otavioi",1,"restricted","Amphibians","Hylodidae","Hylodes","Restricted",1983,"n","DD","plateau","plateau"
"Ischnocnema penaxavantinho",0,"noise","Amphibians","Brachycephalidae","Ischnocnema","Restricted",2007,"n","DD","plateau","plateau"
"Juscelinomys candango",3,"restricted","Mammals","Cricetidae","Juscelinomys","Restricted",1965,"s","EX","plateau","plateau"
"Juscelinomys huanchacae",11,"restricted","Mammals","Cricetidae","Juscelinomys","Restricted",1999,"s","DD","depression","depression"
"Kentropyx paulensis",0,"noise","Lizards","Teiidae","Kentropyx","Partial",1893,"n","-","general","plateau"
"Kentropyx vanzoi",0,"noise","Lizards","Teiidae","Kentropyx","Partial",1980,"n","-","depression","plateau"
"Kerodon acrobata",0,"noise","Mammals","Caviidae","Kerodon","Restricted",1997,"s","DD","general","plateau"
"Knipolegus franciscanus",0,"noise","Aves","Tyrannidae","Knipolegus","Partial",1928,"s","LC","plateau","plateau"
