"species","BEs","range_be","class","family","genus","range","year","New","IUCN","elev_class","BEs_elev_class"
"Kunsia tomentosus",0,"noise","Mammals","Cricetidae","Kunsia","Partial",1830,"s","LC","depression","plateau"
"Laterallus xenopterus",0,"noise","Aves","Rallidae","Laterallus","Partial",1934,"s","VU","plateau","plateau"
"Leposternon cerradensis",0,"noise","Lizards","Amphisbaenidae","Leposternon","Restricted",2008,"n","-","plateau","plateau"
"Leposternon maximus",7,"restricted","Lizards","Amphisbaenidae","Leposternon","Restricted",2011,"n","-","plateau","plateau"
"Leposternon mineiro*",0,"noise","Lizards","Amphisbaenidae","Leposternon","Restricted",2018,"s","-","plateau","plateau"
"Leptodactylus brevipes*",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Partial",1887,"s","-","general","plateau"
"Leptodactylus camaquara",1,"restricted","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","DD","plateau","plateau"
"Leptodactylus cunicularius",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","LC","plateau","plateau"
"Leptodactylus furnarius",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Partial",1978,"n","LC","plateau","plateau"
"Leptodactylus kilombo*",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Restricted",2020,"s","-","general","plateau"
"Leptodactylus pustulatus",28,"partial","Amphibians","Leptodactylidae","Leptodactylus","Partial",1970,"n","LC","depression","depression"
"Leptodactylus sertanejo",0,"noise","Amphibians","Leptodactylidae","Leptodactylus","Wide",2007,"n","LC","general","plateau"
"Leptodactylus tapiti",5,"restricted","Amphibians","Leptodactylidae","Leptodactylus","Restricted",1978,"n","DD","plateau","plateau"
"Liotyphlops schubarti",0,"noise","Snakes","Anomalepididae","Liotyphlops","Restricted",1948,"n","DD","plateau","plateau"
"Liotyphlops taylori*",10,"restricted","Snakes","Anomalepididae","Liotyphlops","Restricted",2018,"s","-","depression","depression"
"Lonchophylla bokermanni",1,"restricted","Mammals","Phyllostomidae","Lonchophylla","Restricted",1978,"s","EN","plateau","plateau"
"Lonchophylla dekeyseri",0,"noise","Mammals","Phyllostomidae","Lonchophylla","Partial",1983,"s","EN","general","plateau"
"Lycalopex vetulus",2,"wide","Mammals","Canidae","Lycalopex","Wide",1842,"s","VU","general","general"
"Lygophis paucidens",0,"noise","Snakes","Dipsadidae","Lygophis","Partial",1953,"n","-","depression","plateau"
"Lysapsus caraya",15,"partial","Amphibians","Hylidae","Lysapsus","Restricted",1964,"n","LC","depression","depression"
"Manciola guaporicola",0,"noise","Lizards","Scincidae","Maciola","Partial",1935,"n","-","depression","plateau"
"Melanopareia torquata",2,"wide","Aves","Melanopareiidae","Melanopareia","Wide",1831,"s","LC","plateau","general"
"Micrablepharus atticolus",0,"noise","Lizards","Gymnophthalmidae","Micrablepharus","Partial",1996,"n","LC","plateau","plateau"
"Microakodontomys transitorius",3,"restricted","Mammals","Cricetidae","Microakodontomys","Restricted",1993,"s","EN","plateau","plateau"
"Micrurus brasiliensis",0,"noise","Snakes","Elapidae","Micrurus","Partial",1967,"n","-","general","plateau"
"Micrurus tricolor",23,"partial","Snakes","Elapidae","Micrurus","Partial",1956,"n","-","depression","depression"
"Monodelphis kunsi",0,"noise","Mammals","Didelphidae","Monodelphis","Partial",1975,"s","LC","depression","plateau"
"Monodelphis sanctaerosae",6,"restricted","Mammals","Didelphidae","Monodelphis","Restricted",2012,"s","?","depression","depression"
"Myiothlypis leucophrys",2,"wide","Aves","Parulidae","Myiothlypis","Partial",1868,"s","LC","plateau","general"
"Neothraupis fasciata",2,"wide","Aves","Thraupidae","Neothraupis","Wide",1823,"s","NT","plateau","general"
"Nothura minor",4,"partial","Aves","Tinamidae","Nothura","Partial",1825,"s","VU","plateau","plateau"
"Nyctiprogne vielliardi",0,"noise","Aves","Caprimulgidae","Nyctiprogne","Restricted",1994,"s","LC","general","plateau"
"Nystalus striatipectus",0,"noise","Aves","Bucconidae","Nystalus","Partial",1854,"s","-","depression","plateau"
"Odontophrynus cultripes",0,"noise","Amphibians","Odontophrynidae","Odontophrynus","Partial",1862,"n","LC","plateau","plateau"
"Odontophrynus juquinha*",1,"restricted","Amphibians","Odontophrynidae","Odontophrynus","Restricted",2017,"s","-","plateau","plateau"
"Odontophrynus monachus",8,"restricted","Amphibians","Odontophrynidae","Odontophrynus","Restricted",2012,"n","-","plateau","plateau"
"Oecomys cleberi",0,"noise","Mammals","Cricetidae","Oecomys","Partial",1981,"s","DD","general","plateau"
"Oligoryzomys moojeni",0,"noise","Mammals","Cricetidae","Oligoryzomys","Partial",2005,"s","DD","general","plateau"
"Oligoryzomys rupestris",0,"noise","Mammals","Cricetidae","Oligoryzomys","Partial",2005,"s","DD","plateau","plateau"
"Oreobates antrum*",7,"restricted","Amphibians","Craugastoridae","Oreobates","Restricted",2018,"s","-","plateau","plateau"
"Oreobates heterodactylus",10,"restricted","Amphibians","Craugastoridae","Oreobates","Restricted",1937,"n","DD","depression","depression"
"Oreobates remotus",0,"noise","Amphibians","Craugastoridae","Oreobates","Restricted",2012,"n","-","plateau","plateau"
"Oxymycterus delator",0,"noise","Mammals","Cricetidae","Oxymycterus","Wide",1903,"s","LC","plateau","plateau"
"Oxymycterus itapeby",24,"restricted","Mammals","Cricetidae","Oxymycterus","Restricted",2019,"s","-","plateau","plateau"
"Paroaria baeri",15,"partial","Aves","Thraupidae","Paroaria","Partial",1907,"s","LC","depression","depression"
"Penelope ochrogaster",0,"noise","Aves","Cracidae","Penelope","Partial",1870,"s","VU","depression","plateau"
"Phaethornis nattereri",0,"noise","Aves","Trochilidae","Phaethornis","Partial",1887,"s","LC","depression","plateau"
"Phalotris cerradensis*",7,"restricted","Snakes","Dipsadidae","Phalotris","Restricted",2020,"s","-","plateau","plateau"
"Phalotris concolor",0,"noise","Snakes","Dipsadidae","Phalotris","Restricted",1994,"n","-","plateau","plateau"
"Phalotris labiomaculatus",20,"restricted","Snakes","Dipsadidae","Phalotris","Restricted",2002,"n","-","depression","depression"
"Phalotris lativittatus",14,"partial","Snakes","Dipsadidae","Phalotris","Partial",1994,"n","-","plateau","plateau"
"Phalotris matogrossensis",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",2005,"n","-","depression","plateau"
"Phalotris mertensi",14,"partial","Snakes","Dipsadidae","Phalotris","Partial",1955,"n","-","plateau","plateau"
"Phalotris multipunctatus",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",1994,"n","-","general","plateau"
"Phalotris nasutus",0,"noise","Snakes","Dipsadidae","Phalotris","Partial",1915,"n","-","general","plateau"
"Phasmahyla jandaia",1,"restricted","Amphibians","Phyllomedusidae","Phasmahyla","Restricted",1978,"n","LC","plateau","plateau"
"Philodryas livida",0,"noise","Snakes","Dipsadidae","Philodryas","Partial",1923,"n","VU","plateau","plateau"
"Philodryas mattogrossensis",0,"noise","Snakes","Dipsadidae","Philodryas","Partial",1898,"n","-","depression","plateau"
"Phyllomyias reiseri",0,"noise","Aves","Tyrannidae","Phyllomyias","Partial",1905,"s","LC","general","plateau"
"Phyllomys brasiliensis",1,"restricted","Mammals","Echimyidae","Phyllomys","Restricted",1840,"s","EN","plateau","plateau"
"Phyllomys centralis",0,"noise","Mammals","Echimyidae","Phyllomys","Restricted",2018,"s","-","plateau","plateau"
"Phylloscartes roquettei",0,"noise","Aves","Rhynchocyclidae","Phylloscartes","Partial",1928,"s","EN","plateau","plateau"
"Physalaemus atim*",3,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",2015,"s","-","plateau","plateau"
"Physalaemus centralis",2,"wide","Amphibians","Leptodactylidae","Physalaemus","Wide",1962,"n","LC","depression","general"
"Physalaemus claptoni*",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",2020,"s","-","plateau","plateau"
"Physalaemus deimaticus",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",1988,"n","DD","plateau","plateau"
"Physalaemus evangelistai",1,"restricted","Amphibians","Leptodactylidae","Physalaemus","Restricted",1967,"n","DD","plateau","plateau"
"Physalaemus marmoratus",0,"noise","Amphibians","Leptodactylidae","Physalaemus","Partial",1862,"n","LC","plateau","plateau"
"Physalaemus nattereri",2,"wide","Amphibians","Leptodactylidae","Physalaemus","Wide",1863,"n","LC","depression","general"
"Pithecopus araguaius*",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",2017,"s","-","depression","plateau"
"Pithecopus ayeaye",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",1966,"n","CR","plateau","plateau"
"Pithecopus azureus",29,"partial","Amphibians","Phyllomedusidae","Pithecopus","Partial",1862,"n","DD","depression","depression"
"Pithecopus centralis",0,"noise","Amphibians","Phyllomedusidae","Pithecopus","Partial",1965,"n","DD","general","plateau"
"Pithecopus megacephalus",1,"restricted","Amphibians","Phyllomedusidae","Pithecopus","Restricted",1926,"n","DD","plateau","plateau"
"Pithecopus oreades",9,"restricted","Amphibians","Phyllomedusidae","Pithecopus","Partial",2002,"n","DD","plateau","plateau"
"Placosoma cipoense",1,"restricted","Lizards","Gymnophthalmidae","Placosoma","Restricted",1966,"n","-","plateau","plateau"
"Polystictus superciliaris",1,"restricted","Aves","Tyrannidae","Polystictus","Partial",1831,"s","LC","plateau","plateau"
"Poospiza cinerea",13,"partial","Aves","Thraupidae","Poospiza","Partial",1850,"s","LC","plateau","plateau"
"Porphyrospiza caerulescens",2,"wide","Aves","Thraupidae","Porphyrospiza","Wide",1830,"s","NT","plateau","general"
"Pristimantis dundeei",0,"noise","Amphibians","Craugastoridae","Pristimantis","Partial",1999,"n","DD","general","plateau"
"Pristimantis moa*",20,"restricted","Amphibians","Craugastoridae","Pristimantis","Restricted",2020,"s","-","depression","depression"
"Pristimantis ventrigranulosus",12,"restricted","Amphibians","Craugastoridae","Pristimantis","Restricted",2012,"n","-","plateau","plateau"
"Proceratophrys bagnoi",5,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2013,"n","-","general","plateau"
"Proceratophrys branti",0,"noise","Amphibians","Odontophrynidae","Proceratophrys","Partial",2013,"n","-","depression","plateau"
"Proceratophrys carranca",0,"noise","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2013,"n","-","plateau","plateau"
"Proceratophrys cururu",1,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",1998,"n","DD","plateau","plateau"
"Proceratophrys dibernardoi",0,"noise","Amphibians","Odontophrynidae","Proceratophrys","Partial",2013,"n","-","plateau","plateau"
"Proceratophrys goyana",9,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Partial",1937,"n","LC","general","plateau"
"Proceratophrys huntingtoni",6,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2012,"n","-","depression","depression"
"Proceratophrys moratoi",0,"noise","Amphibians","Odontophrynidae","Proceratophrys","Partial",1980,"n","CR","plateau","plateau"
"Proceratophrys rotundipalpebra",5,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2013,"n","-","plateau","plateau"
"Proceratophrys salvatori",3,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",1996,"n","DD","plateau","plateau"
"Proceratophrys strussmannae",0,"noise","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2011,"n","-","depression","plateau"
"Proceratophrys vielliardi",3,"restricted","Amphibians","Odontophrynidae","Proceratophrys","Restricted",2011,"n","DD","plateau","plateau"
"Pseudis tocantins",26,"partial","Amphibians","Hylidae","Pseudis","Partial",1998,"n","LC","depression","depression"
"Pseudopaludicola atragula*",0,"noise","Amphibians","Leptodactylidae","Pseudopaludicola","Restricted",2014,"s","-","depression","plateau"
"Pseudopaludicola coracoralinae*",0,"noise","Amphibians","Leptodactylidae","Pseudopaludicola","Restricted",2020,"s","-","plateau","plateau"
"Pseudopaludicola facureae*",0,"noise","Amphibians","Leptodactylidae","Pseudopaludicola","Partial",2013,"s","-","general","plateau"
"Pseudopaludicola ibisoroca*",12,"restricted","Amphibians","Leptodactylidae","Pseudopaludicola","Restricted",2016,"s","-","plateau","plateau"
"Pseudopaludicola jazmynmcdonaldae*",0,"noise","Amphibians","Leptodactylidae","Pseudopaludicola","Restricted",2019,"s","-","depression","plateau"
"Pseudopaludicola mineira*",1,"restricted","Amphibians","Leptodactylidae","Pseudopaludicola","Restricted",1994,"s","DD","plateau","plateau"
"Pseudopaludicola ternetzi*",0,"noise","Amphibians","Leptodactylidae","Pseudopaludicola","Partial",1937,"s","LC","general","plateau"
"Psilops seductus*",7,"restricted","Lizards","Gymnophthalmidae","Psilops","Restricted",2017,"s","-","plateau","plateau"
"Pyrrhura pfrimeri",0,"noise","Aves","Psittacidae ","Pyrrhura","Restricted",1920,"s","EN","general","plateau"
"Rhachidelus brazili",4,"partial","Snakes","Dipsadidae","Rhachidelus","Partial",1908,"n","LC","plateau","plateau"
"Rhachisaurus brachylepis",1,"restricted","Lizards","Gymnophthalmidae","Rhachisaurus","Restricted",1974,"n","-","plateau","plateau"
"Rhinella cerradensis",0,"noise","Amphibians","Bufonidae","Rhinella","Partial",2007,"n","DD","plateau","plateau"
"Rhinella inopina",16,"restricted","Amphibians","Bufonidae","Rhinella","Restricted",2012,"n","-","plateau","plateau"
"Rhinella ocellata",0,"noise","Amphibians","Bufonidae","Rhinella","Partial",1858,"n","LC","depression","plateau"
"Rhinella rubescens",13,"partial","Amphibians","Bufonidae","Rhinella","Partial",1925,"n","LC","plateau","plateau"
"Rhinella scitula",19,"restricted","Amphibians","Bufonidae","Rhinella","Partial",2003,"n","DD","depression","depression"
"Rhinella sebbeni*",9,"restricted","Amphibians","Bufonidae","Rhinella","Restricted",2015,"s","-","plateau","plateau"
"Rhinella veredas",0,"noise","Amphibians","Bufonidae","Rhinella","Partial",2007,"n","LC","plateau","plateau"
"Rhipidomys ipukensis",0,"noise","Mammals","Cricetidae","Rhipidomys","Restricted",2011,"s","DD","depression","plateau"
"Rhipidomys macrurus",0,"noise","Mammals","Cricetidae","Rhipidomys","Wide",1855,"s","LC","general","plateau"
"Saltatricula atricollis",2,"wide","Aves","Thraupidae","Saltatricula","Wide",1817,"s","LC","general","general"
"Salvator duseni",0,"noise","Lizards","Teiidae","Salvator","Partial",1910,"n","-","general","plateau"
"Scinax cabralensis",1,"restricted","Amphibians","Hylidae","Scinax","Restricted",2007,"n","DD","plateau","plateau"
"Scinax canastrensis",8,"restricted","Amphibians","Hylidae","Scinax","Restricted",1982,"n","DD","plateau","plateau"
"Scinax centralis",3,"restricted","Amphibians","Hylidae","Scinax","Restricted",1996,"n","LC","plateau","plateau"
"Scinax constrictus",0,"noise","Amphibians","Hylidae","Scinax","Partial",2005,"n","LC","depression","plateau"
"Scinax curicica",1,"restricted","Amphibians","Hylidae","Scinax","Restricted",2004,"n","DD","plateau","plateau"
"Scinax goya*",7,"restricted","Amphibians","Hylidae","Scinax","Restricted",2018,"s","-","plateau","plateau"
"Scinax haddadorum*",0,"noise","Amphibians","Hylidae","Scinax","Restricted",2016,"s","-","general","plateau"
"Scinax machadoi",1,"restricted","Amphibians","Hylidae","Scinax","Restricted",1973,"n","LC","plateau","plateau"
"Scinax maracaya",0,"noise","Amphibians","Hylidae","Scinax","Restricted",1980,"n","DD","plateau","plateau"
"Scinax pinimus",1,"restricted","Amphibians","Hylidae","Scinax","Restricted",1973,"n","DD","plateau","plateau"
"Scinax pombali",8,"restricted","Amphibians","Hylidae","Scinax","Restricted",2013,"n","-","plateau","plateau"
"Scinax rogerioi",0,"noise","Amphibians","Hylidae","Scinax","Partial",2009,"n","-","plateau","plateau"
"Scinax rossaferesae*",24,"restricted","Amphibians","Hylidae","Scinax","Restricted",2016,"s","-","plateau","plateau"
"Scinax rupestris*",5,"restricted","Amphibians","Hylidae","Scinax","Restricted",2015,"s","-","plateau","plateau"
"Scinax skaios",3,"restricted","Amphibians","Hylidae","Scinax","Restricted",2010,"n","-","plateau","plateau"
"Scinax tigrinus",3,"restricted","Amphibians","Hylidae","Scinax","Restricted",2010,"n","LC","plateau","plateau"
"Scytalopus novacapitalis",21,"restricted","Aves","Rhinocryptidae","Scytalopus","Partial",1958,"s","EN","plateau","plateau"
"Siagonodon acutirostris",18,"restricted","Snakes","Leptotyphlopidae","Siagonodon","Restricted",2011,"n","-","plateau","plateau"
"Simophis rhinostoma",4,"partial","Snakes","Colubridae","Simophis","Partial",1837,"n","-","plateau","plateau"
"Sporophila nigrorufa",11,"restricted","Aves","Thraupidae","Sporophila","Partial",1837,"s","VU","depression","depression"
"Stenocercus albolineatus*",27,"restricted","Lizards","Tropiduridae","Stenocercus","Restricted",2015,"s","-","depression","depression"
"Stenocercus canastra*",8,"restricted","Lizards","Tropiduridae","Stenocercus","Restricted",2019,"s","-","plateau","plateau"
"Stenocercus quinarius",16,"restricted","Lizards","Tropiduridae","Stenocercus","Restricted",2006,"n","LC","plateau","plateau"
"Stenocercus sinesaccus",0,"noise","Lizards","Tropiduridae","Stenocercus","Partial",2005,"n","LC","general","plateau"
"Suiriri affinis",2,"wide","Aves","Tyrannidae","Suiriri","Partial",1856,"s","NT","general","general"
"Synallaxis simoni",15,"partial","Aves","Furnariidae","Synallaxis","Partial",1907,"s","LC","depression","depression"
"Syndactyla dimidiata",0,"noise","Aves","Furnariidae","Syndactyla","Partial",1859,"s","LC","plateau","plateau"
"Taoniscus nanus",0,"noise","Aves","Tinamidae","Taoniscus","Partial",1815,"s","EN","plateau","plateau"
"Thalpomys cerradensis",0,"noise","Mammals","Cricetidae","Thalpomys","Partial",1990,"s","LC","general","plateau"
"Thalpomys lasiotis",0,"noise","Mammals","Cricetidae","Thalpomys","Partial",1916,"s","LC","plateau","plateau"
"Thamnodynastes rutilus",0,"noise","Snakes","Dipsadidae","Thamnodynastes","Partial",1942,"n","-","general","plateau"
"Thoropa megatympanum",1,"restricted","Amphibians","Cycloramphidae","Thoropa","Restricted",1984,"n","LC","plateau","plateau"
"Thrichomys apereoides",0,"noise","Mammals","Echimyidae","Thrichomys","Partial",1839,"s","LC","plateau","plateau"
"Thrichomys pachyurus",0,"noise","Mammals","Echimyidae","Thrichomys","Partial",1845,"s","LC","general","plateau"
"Thylamys velutinus",0,"noise","Mammals","Didelphidae","Thylamys","Partial",1842,"s","NT","plateau","plateau"
"Trachycephalus mambaiensis",0,"noise","Amphibians","Hylidae","Trachycephalus","Partial",2009,"n","-","plateau","plateau"
"Trilepida brasiliensis",0,"noise","Snakes","Leptotyphlopidae","Trilepida","Wide",1949,"n","-","depression","plateau"
"Trilepida fuliginosa",22,"partial","Snakes","Leptotyphlopidae","Trilepida","Partial",2006,"n","-","general","general"
"Trilepida jani",1,"restricted","Snakes","Leptotyphlopidae","Trilepida","Restricted",2012,"n","-","plateau","plateau"
"Trilepida koppesi",0,"noise","Snakes","Leptotyphlopidae","Trilepida","Partial",1955,"n","-","general","plateau"
"Trinomys moojeni",1,"restricted","Mammals","Echimyidae","Trinomys","Restricted",1992,"s","?","plateau","plateau"
"Tropidophis preciosus",1,"restricted","Snakes","Tropidophiidae","Tropidophis","Restricted",2012,"n","-","plateau","plateau"
"Tropidurus callathelys",11,"restricted","Lizards","Tropiduridae","Tropidurus","Restricted",1998,"n","-","depression","depression"
"Tropidurus chromatops",11,"restricted","Lizards","Tropiduridae","Tropidurus","Restricted",1998,"n","LC","depression","depression"
"Tropidurus itambere",4,"partial","Lizards","Tropiduridae","Tropidurus","Partial",1987,"n","LC","general","plateau"
"Tropidurus montanus",1,"restricted","Lizards","Tropiduridae","Tropidurus","Partial",1987,"n","LC","plateau","plateau"
"Tropidurus oreadicus",29,"partial","Lizards","Tropiduridae","Tropidurus","Partial",1987,"n","LC","depression","depression"
"Tupinambis matipu*",0,"noise","Lizards","Teiidae","Tupinambis","Partial",2018,"s","-","depression","plateau"
"Tupinambis quadrilineatus",0,"noise","Lizards","Teiidae","Tupinambis","Partial",1997,"n","LC","depression","plateau"
"Uropelia campestris",0,"noise","Aves","Columbidae","Uropelia","Wide",1825,"s","LC","depression","plateau"
"Vanzosaura savanicola*",0,"noise","Lizards","Gymnophthalmidae","Vanzosaura","Partial",2014,"s","LC","plateau","plateau"
"Xenodon matogrossensis",23,"partial","Snakes","Dipsadidae","Xenodon","Partial",1993,"n","-","depression","depression"
"Xenodon nattereri",0,"noise","Snakes","Dipsadidae","Xenodon","Wide",1867,"n","-","general","plateau"
